GEOID,POPULATION,coverage_pct,pop_with_access
22310,32329,0.2059253884374244,6657
22303,14688,0.003443667949319113,51
22312,30327,0.9782767743288736,29668
22304,49262,0.5917257843621011,29150
22302,17985,0.43492389889672073,7822
22311,18890,0.9795361151809583,18503
22206,20716,0.8238544437554652,17067
22041,28476,1.0,28476
22204,53855,0.8828772729958275,47547
22044,14078,0.9999999999999929,14078
22307,10286,0.13011883552461,1338
22314,35208,0.7657507204980147,26961
22301,13188,0.6808861500402821,8980
22305,18377,0.9741391098485535,17902
22202,26742,0.6250907147844867,16716
22214,0,0.7369267656327542,0
22211,1482,0.31867572433528973,472
20551,0,0.04703231359264101,0
20418,0,0.5149881900551038,0
20245,0,0.34245043847183076,0
20240,0,0.10759747164021238,0
20520,0,1.0,0
20566,0,0.9986106532483602,0
20405,0,0.945343266684986,0
20506,0,0.43239232667149397,0
20006,2830,0.8581043048551712,2428
20037,14879,0.5977818092709019,8894
20052,126,1.0,126
20427,0,1.0,0
20036,5426,0.9999999999999996,5426
22203,24841,0.8483479794543853,21074
22205,18570,0.4719797547834989,8765
22201,38990,0.9777412046730384,38122
22046,18639,0.5815327972737854,10839
22209,13172,0.6740286770747185,8878
22213,4168,0.3194851010825808,1332
22043,25012,0.0,0
22207,34113,0.2547736480553269,8691
20007,26412,0.35388368494492306,9347
20016,34686,0.632217515282893,21929
20057,3948,4.298419600962377e-05,0
20008,30255,0.8730648468313302,26415
20015,16113,0.3742323633544134,6030
22101,30598,0.0,0
20816,16661,0.6568385964386507,10944
20815,30908,0.9092812417472302,28104
20745,27503,0.0,0
20748,38720,0.06877616834398223,2663
20746,26396,0.0,0
20032,42009,0.21125774582652398,8875
20373,187,0.0,0
20020,57031,0.6323245125153878,36062
20593,0,0.17316459455644778,0
20390,434,1.0,434
20003,33584,0.9063559350040132,30439
20743,38747,0.3191293133047251,12365
20319,48,0.4159326687661384,20
20024,14603,0.3174094101926772,4635
20260,0,1.0,0
20053,0,1.0,0
20204,0,0.9999999999999999,0
20228,0,0.0,0
20202,0,1.0,0
20553,0,0.715315384756989,0
20560,0,0.0,0
20565,0,0.21957359572005136,0
20540,0,0.9999999999999998,0
20019,65769,0.6477081402870059,42599
20510,0,1.0,0
20002,69141,0.7691527077239271,53180
20018,20864,0.42883035291661464,8947
20722,5604,1.0,5604
20064,2084,1.0,2084
20017,21372,0.7793504251041425,16656
20712,9649,0.9670583179690232,9331
20782,32527,0.698424482406816,22718
20230,0,0.6220027529017219,0
20535,0,1.0,0
20004,1885,0.7558040502494882,1425
20045,0,0.9999999999999999,0
20005,13058,1.0,13058
20001,47697,0.9568917929768951,45641
20009,53715,0.9999999999999978,53715
20010,35297,0.9588979884528802,33846
20317,419,0.8220049711807745,344
20011,69686,0.9024884713695192,62891
20307,41,1.0,41
20012,18375,0.7987557578400009,14677
20910,43729,1.0,43729
20912,25118,0.6155614257834561,15462
20783,45550,0.9999999999999989,45550
